deep_score,deep_class,micro_score_anger,micro_score_disgust,micro_score_fear,micro_score_happiness,micro_score_sadness,micro_score_surprise,micro_class,fusion_label
0.8373,0,0.8664680123329163,0.025875000283122,0.0650229975581169,0.0165580008178949,0.0157450009137392,0.010331000201404,0,LIVE
0.7477,0,0.8913009762763977,0.0044669997878372,0.0175090003758668,0.0270969998091459,0.0076129999943077,0.0520140007138252,0,LIVE
0.7808,0,0.265744000673294,0.0675659999251365,0.5300499796867371,0.0134450001642107,0.0166590008884668,0.1065360009670257,2,LIVE
0.8611,0,0.8916940093040466,0.0274119991809129,0.0500739999115467,0.0130949998274445,0.0116349998861551,0.0060899998061358,0,LIVE
0.7231,0,0.0528060011565685,0.8115890026092529,0.0142909996211528,0.0555460005998611,0.0303320009261369,0.035436000674963,1,LIVE
0.8568,0,0.992438018321991,0.001215000054799,0.0014560000272467,0.0034020000603049,0.0007329999934881,0.000754999986384,0,LIVE
0.9116,0,0.8469420075416565,0.0066700000315904,0.0281390007585287,0.0830919966101646,0.0102789998054504,0.0248780008405447,0,LIVE
0.6954,0,0.9696339964866638,0.0033170001115649,0.0063849999569356,0.013082000426948,0.0028899998869746,0.0046930001117289,0,LIVE
0.7421,0,0.0097230002284049,0.0058019999414682,0.0076540000736713,0.0599999986588954,0.0068399999290704,0.9099810123443604,5,LIVE
0.8206,0,0.2704750001430511,0.4705379903316498,0.0117389997467398,0.0348390005528926,0.0202639997005462,0.1921450048685073,1,LIVE
0.7448,0,0.9050830006599426,0.0388230010867118,0.0114909997209906,0.0162429995834827,0.0152359995990991,0.0131240002810955,0,LIVE
0.8192,0,0.0548480004072189,0.0286679994314908,0.6659430265426636,0.0167149994522333,0.0120289996266365,0.2217970043420791,2,LIVE
0.8459,0,0.7200170159339905,0.0059589999727904,0.0232560001313686,0.0854170024394989,0.0115710003301501,0.153779000043869,0,LIVE
0.8422,0,0.0033629999961704,0.003622000105679,0.0039510000497102,0.0097270002588629,0.0034149999264627,0.9759230017662048,5,LIVE
0.6224,0,0.0203339997678995,0.055587999522686,0.1545339971780777,0.0121020004153251,0.0138940000906586,0.7435489892959595,5,LIVE
0.8394,0,0.0048779998905956,0.0023199999704957,0.004590000025928,0.012614999897778,0.0035949999000877,0.972001016139984,5,LIVE
0.8543,0,0.0037829999346286,0.002513000043109,0.0030950000509619,0.0096239997074007,0.0030539999715983,0.977931022644043,5,LIVE
0.7947,0,0.0011680000461637,0.0135019998997449,0.0035220000427216,0.0085669998079538,0.004325000103563,0.9689159989356996,5,LIVE
0.8905,0,0.0292530003935098,0.108194999396801,0.0131090003997087,0.797914981842041,0.0116290003061294,0.0399000011384487,3,LIVE
0.7367,0,0.3926819860935211,0.0153390001505613,0.0138199999928474,0.321289986371994,0.0228429995477199,0.2340259999036789,0,LIVE
0.8233,0,0.0005510000046342,0.98260098695755,0.0022479998879134,0.000904000014998,0.0011020000092685,0.0125940004363656,1,LIVE
0.6772,0,0.0005810000002384,0.0036689999978989,0.0014669999945908,0.0455899983644485,0.0010300000431016,0.9476630091667176,5,LIVE
0.8649,0,0.0022289999760687,0.0112239997833967,0.0036150000523775,0.0071290000341832,0.0027290000580251,0.9730730056762696,5,LIVE
0.8903,0,0.002155999885872,0.012182000093162,0.0037279999814927,0.0067509999498724,0.0027640000917017,0.9724199771881104,5,LIVE
0.7109,0,0.0003560000041034,0.0014789999695494,0.0010529999854043,0.0013150000013411,0.0009670000290498,0.9948300123214722,5,LIVE
0.6226,0,0.0016740000573918,0.0032230000942945,0.0035429999697953,0.0039880000986158,0.0026360000483691,0.9849349856376648,5,LIVE
0.8805,0,0.0045019998215138,0.0071519999764859,0.0078969998285174,0.6757739782333374,0.0034769999329,0.3012000024318695,3,LIVE
0.6775,0,0.0031089999247342,0.0042730001732707,0.0050519998185336,0.0234999991953372,0.0039869998581707,0.9600790143013,5,LIVE
